Case Tag,Secondary Tags (for mapping),SA Case Group,SA Case Type,SA Case Subtype,Apply mapping if,AND…
St. Gabes,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Gabes,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. Gabe's,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Gabe's,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. Gabe's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Gabe's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. gabriels,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. gabriels,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. Gabriels Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Gabriels Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. Gabriel's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Gabriel's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St. Mary's Villa - TD,,,,,,
St. Matthew's in the Woods,,,,,,
St. Michael's Lutheran Church,,,,,,
St. Michael's School for Boys,,4. Sexual Abuse - Pennsylvania,Scranton Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St. Stephen School,,,,,,
Star of Hope Mission,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religion (Minor),,Case State = NJ,case also has one or more of the tags in column B
Stark and Stark Referral,,,,,,
Stephens Foster Home,,3. Sexual Abuse - New Jersey,Chidl Welfare Agency,,Case State = NJ,
Stepping Stone Group Home NJ,,,,,,
Steven Kupferberg Referral,,,,,,
STG,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
STG,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
STG and VQ,,,,,,
STG and VQ - TD,,,,,,
STG IN SUIT,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
STG IN SUIT,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
STG TD,,,,,,
STG- TD,,,,,,
Stockpile,,,,,,
STRONG CASE,,,,,,
Suburban EMS,,,,,,
Summit Academy,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center ,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Sussex County Correctional Facility,,3. Sexual Abuse - New Jersey,New Jersey Detention Center - Misc. County,,Case State = NJ,
Synagogue,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religion,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Tabs3,,,,,,
Taxi Company,,,,,,
TD,,,,,,
TD - DEV,,,,,,
TD - GM,,,,,,
TD - GM and DEV,,,,,,
TD - GM and VQ,,,,,,
TD - STG,,,,,,
TD - VQ,,,,,,
TD - VQ and DEV,,,,,,
TD - VQ and STG,,,,,,
TD - Wordsworth,,,,,,
TD- both STG and VQ,,,,,,
TD only VQ and DEV,,,,,,
TD per JWB,,,,,,
TD VQ ONLY,,,,,,
TD-NON COOPERATION,,,,,,
TD-STG,,,,,,
TD-STG ONLY,,,,,,
TD-VisionQuest,,,,,,
TD-VisionQuest,,,,,,
TD-VQ and GMS,,,,,,
Teacher,,,,,,
Technical College High School-Pickering Campus,,,,,,
Texas,,,,,,
Text/Call before sending mail,,,,,,
The Female Secure Care and Intake Facility: Hayes Building,,3. Sexual Abuse - New Jersey,Juvenile Detention Center- State Facilities - MCL,,Case State = NJ,
The New Jersey Training School and the Highland School,,3. Sexual Abuse - New Jersey,Juvenile Detention Center- State Facilities - MCL,,Case State = NJ,
The Provincial Convent for Sister Of Good Shepherd,,,,,,
The Summit Academy,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Therapy,,,,,,
They/them/it,,,,,,
THIS IS A DUP CONTACT,,,,,,
Tioga County Child and Youth Services,,,,,,
Todd Leonard Referral,,,,,,
Toner Institute,,,,,,
Treatment. See 5.1.19 note.,,,,,,
Treatment. See 5.2.19 note.,,,,,,
Treatment. See 5.3.19 note.,,,,,,
Trenton,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey ,Trenton Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Trenton,,3. Sexual Abuse - New Jersey ,Trenton Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Trenton Diocese,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey ,Trenton Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Trenton Diocese,,3. Sexual Abuse - New Jersey ,Trenton Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Trinity United Methodist Church,,,,,,
Turndown,,,,,,
Twin Hills Elementary School,,,,,,
Tyler Fox Referral,,,,,,
U20,,,,,,
UE,,,,,,
Ukrainian Byzantine Catholic Church,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey ,Non-Catholic Religion (Minor),,Case State = NJ,case also has one or more of the tags in column B
Uncooperative,,,,,,
Under 20,,,,,,
Under 30,,,,,,
UNDER 55,,,,,,
UNDER 55 y/o,,,,,,
UNDER SOL for PHL Claim,,,,,,
Union Baptist Church,,,,,,
United Holy Church,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religion,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
US Claims Loan,,,,,,
USA Blues Clothing Store,,4. Sexual Abuse - Pennsylvania,General Sex Abuse,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
USE: waylonbrown89@hotmail.com,,,,,,
Verified,,,,,,
Vincentians,,3. Sexual Abuse - New Jersey ,Religious Order,,Case State = NJ,
Vision Quest,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Vision Quest,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Vision Quest (PHY only- out of Statute),,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Vision Quest (PHY only- out of Statute),,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Vision Quest (Texas),,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Vision Quest (Texas),,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Vision Quest Philadelphia,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Vision Quest Philadelphia,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Visionquest,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Visionquest,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
VQ,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
VQ,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
VQ - TD,,,,,,
VQ - TD,,,,,,
VQ Case- TD,,,,,,
VQ Case- TD,,,,,,
VQ CLAIM - TD FOR MIN ABUSE,,,,,,
VQ CLAIM - TD FOR MIN ABUSE,,,,,,
VQ Client,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
VQ Client,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
VQ PHY ONLY,,4. Sexual Abuse - Pennsylvania,VisionQuest,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
VQ PHY ONLY,,4. Sexual Abuse - Pennsylvania,VisionQuest Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
VQ TD,,,,,,
VQ TD,,,,,,
VQ-TD,,,,,,
VQ-TD,,,,,,
VS- SEE HR NOTES IF INELIGIBLE,,,,,,
Wall High School,,,,,,
Wall Township NJ,,,,,,
West Essex Middle School,,3. Sexual Abuse - New Jersey,School ,,Case State = NJ,
West Philadelphia Promise Academy.,,,,,,
West Washington United Methodist Church,,,,,,
WIFE DOES NOT KNOW,,,,,,
WIFE DOES NOT KNOW ABOUT ABUSE,,,,,,
WIFE DOES NOT KNOW!!!,,,,,,
Wiggs Foster Home,,4. Sexual Abuse - Pennsylvania,Child Welfare Agency,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Will get back to us - too much going on right now,,,,,,
Within SOL,,,,,,
Women's Christian Alliance,,4. Sexual Abuse - Pennsylvania,Child Welfare Agency,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Woodsworth Academy,,,,,,
Wordsworth Academy,,,,,,
YMCA,,,,,,
Youth Forestry Camp,,,,,,
Youth Forestry Camp #1,,,,,,
Youth Forestry Camp #3,,,,,,
Youth Services,,,,,,
Youth Services Agency,,,,,,
YWCA Day Camp,,,,,,
